"elpd_diff","se_diff","elpd","se_elpd","p","se_p","ic","se_ic","variable","variable.label","criterion","model","best.model","model.label"
-1.118888563,0.402620657,-29.19511368,13.80158264,10.23185683,4.26573131,58.39022736,27.60316528,"no3.n","NO3-N (ppm)","LOO","strip.random","No","Strip random effects"
-1.415126227,1.229532999,-29.49135135,13.19718194,13.92060682,4.968979949,58.98270269,26.39436389,"no3.n","NO3-N (ppm)","LOO","strip.plot.random","No","Strip and plot random effects"
0,0,-14.60065457,23.11346789,13.87272299,7.477717732,29.20130914,46.22693578,"nh4.n","NH4-N (ppm)","WAIC","simple","Yes","Fixed effects only"
-0.807528084,0.464234748,-15.40818266,22.95484254,15.31612544,7.879562754,30.81636531,45.90968508,"nh4.n","NH4-N (ppm)","WAIC","strip.random","No","Strip random effects"
-1.348305686,0.892657269,-15.94896026,22.60756539,17.50806734,8.607353764,31.89792052,45.21513078,"nh4.n","NH4-N (ppm)","WAIC","strip.plot.random","No","Strip and plot random effects"
0,0,-15.06859858,23.41529303,14.340667,7.790048311,30.13719717,46.83058607,"nh4.n","NH4-N (ppm)","LOO","simple","Yes","Fixed effects only"
-0.809662531,0.519710048,-15.87826111,23.23385428,15.7862039,8.161851824,31.75652223,46.46770856,"nh4.n","NH4-N (ppm)","LOO","strip.random","No","Strip random effects"
-1.637587477,0.836653574,-16.70618606,23.00741131,18.26529314,9.008038571,33.41237212,46.01482261,"nh4.n","NH4-N (ppm)","LOO","strip.plot.random","No","Strip and plot random effects"
0,0,75.59753038,18.81740154,17.50855469,8.071008219,-151.1950608,37.63480308,"cec","CEC (meq/100 g)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-1.744889305,3.586574317,73.85264107,16.18841741,9.987866547,5.081237903,-147.7052821,32.37683481,"cec","CEC (meq/100 g)","WAIC","simple","No","Fixed effects only"
-1.87647356,2.712763255,73.72105682,16.60876173,13.18814548,6.183486155,-147.4421136,33.21752347,"cec","CEC (meq/100 g)","WAIC","strip.random","No","Strip random effects"
0,0,74.7746207,19.34765855,18.33146437,8.610741233,-149.5492414,38.6953171,"cec","CEC (meq/100 g)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-1.12920025,3.90459475,73.64542045,16.34959717,10.19508717,5.249725573,-147.2908409,32.69919433,"cec","CEC (meq/100 g)","LOO","simple","No","Fixed effects only"
-1.952098238,2.535732327,72.82252246,17.3342389,14.08667984,6.935993906,-145.6450449,34.6684778,"cec","CEC (meq/100 g)","LOO","strip.random","No","Strip random effects"
0,0,-38.16178358,7.6986094,6.897249243,1.293336588,76.32356717,15.3972188,"k.meq","K (meq/100 g)","WAIC","simple","Yes","Fixed effects only"
-0.93539267,0.380570222,-39.09717625,7.682197826,8.39416407,1.453179561,78.19435251,15.36439565,"k.meq","K (meq/100 g)","WAIC","strip.random","No","Strip random effects"
-1.801015327,1.175750028,-39.96279891,7.457126966,11.67207272,1.947144486,79.92559782,14.91425393,"k.meq","K (meq/100 g)","WAIC","strip.plot.random","No","Strip and plot random effects"
0,0,-38.21332929,7.71254901,6.948794948,1.307574305,76.42665858,15.42509802,"k.meq","K (meq/100 g)","LOO","simple","Yes","Fixed effects only"
-1.014704922,0.3907842,-39.22803421,7.708455698,8.525022028,1.480438115,78.45606842,15.4169114,"k.meq","K (meq/100 g)","LOO","strip.random","No","Strip random effects"
-2.02418883,1.212152896,-40.23751812,7.49306318,11.94679193,1.982959975,80.47503624,14.98612636,"k.meq","K (meq/100 g)","LOO","strip.plot.random","No","Strip and plot random effects"
0,0,71.87926889,14.67427321,16.63201705,5.872569462,-143.7585378,29.34854643,"ca.meq","Ca (meq/100 g)","WAIC","strip.plot.random","Yes","Strip and plot random effects"
-4.042803383,3.421649207,67.83646551,12.24269269,11.20674049,3.903428878,-135.672931,24.48538538,"ca.meq","Ca (meq/100 g)","WAIC","strip.random","No","Strip random effects"
-4.204896482,4.026697255,67.67437241,12.12161435,8.372464031,3.137141437,-135.3487448,24.24322869,"ca.meq","Ca (meq/100 g)","WAIC","simple","No","Fixed effects only"
0,0,70.83368769,15.32441573,17.67759824,6.542107076,-141.6673754,30.64883145,"ca.meq","Ca (meq/100 g)","LOO","strip.plot.random","Yes","Strip and plot random effects"
-3.279403471,4.496207947,67.55428422,12.19600284,8.492552216,3.216296664,-135.1085684,24.39200569,"ca.meq","Ca (meq/100 g)","LOO","simple","No","Fixed effects only"
-3.515182899,3.650711418,67.3185048,12.61686732,11.7247012,4.30304943,-134.6370096,25.23373463,"ca.meq","Ca (meq/100 g)","LOO","strip.random","No","Strip random effects"
