elpd_diff,se_diff,elpd,se_elpd,p,se_p,ic,se_ic,variable,variable.label,criterion,model,best.model,model.label
0,0,-17.39943647,11.56913628,11.04169589,3.416363509,34.79887295,23.13827256,poc.percent,POC (%),WAIC,strip.random,Yes,Strip random effects
-0.349118614,1.350931398,-17.74855509,11.87301735,8.091076554,3.181474638,35.49711018,23.74603471,poc.percent,POC (%),WAIC,simple,No,Fixed effects only
-0.810698318,0.299945438,-18.21013479,11.55539648,12.29975224,3.715730351,36.42026959,23.11079296,poc.percent,POC (%),WAIC,strip.plot.random,No,Strip and plot random effects
0,0,-17.81902724,11.82849749,11.46128665,3.684253769,35.63805447,23.65699498,poc.percent,POC (%),LOO,strip.random,Yes,Strip random effects
-0.087858202,1.34090621,-17.90688544,11.99546254,8.249406905,3.31029583,35.81377088,23.99092509,poc.percent,POC (%),LOO,simple,No,Fixed effects only
-0.753374893,0.337429192,-18.57240213,11.71290549,12.66201958,3.876531835,37.14480426,23.42581097,poc.percent,POC (%),LOO,strip.plot.random,No,Strip and plot random effects
0,0,-54.50158503,6.318653668,6.518455246,1.035299924,109.0031701,12.63730734,g475mm,>= 4.75 mm,WAIC,simple,Yes,Fixed effects only
-1.115151242,0.463191554,-55.61673627,6.452765874,8.211655201,1.370360716,111.2334725,12.90553175,g475mm,>= 4.75 mm,WAIC,strip.random,No,Strip random effects
-2.123437217,0.818122679,-56.62502225,6.567004107,9.75962612,1.597426335,113.2500445,13.13400821,g475mm,>= 4.75 mm,WAIC,strip.plot.random,No,Strip and plot random effects
0,0,-54.54777332,6.330819371,6.564643531,1.048344136,109.0955466,12.66163874,g475mm,>= 4.75 mm,LOO,simple,Yes,Fixed effects only
-1.22818809,0.491603657,-55.77596141,6.494338814,8.370880334,1.415685853,111.5519228,12.98867763,g475mm,>= 4.75 mm,LOO,strip.random,No,Strip random effects
-2.309272454,0.853132969,-56.85704577,6.622761296,9.991649642,1.65708441,113.7140915,13.24552259,g475mm,>= 4.75 mm,LOO,strip.plot.random,No,Strip and plot random effects
0,0,19.42472131,7.971513965,14.36370093,2.448310307,-38.84944263,15.94302793,g2mm,2-4.75 mm,WAIC,strip.plot.random,Yes,Strip and plot random effects
-2.04568964,1.985296593,17.37903167,8.004216429,10.66422605,1.904521316,-34.75806335,16.00843286,g2mm,2-4.75 mm,WAIC,strip.random,No,Strip random effects
-4.823881795,3.345342094,14.60083952,7.008271632,6.725139612,1.119158177,-29.20167904,14.01654326,g2mm,2-4.75 mm,WAIC,simple,No,Fixed effects only
0,0,18.95014363,8.085103533,14.83827862,2.565236092,-37.90028726,16.17020707,g2mm,2-4.75 mm,LOO,strip.plot.random,Yes,Strip and plot random effects
-1.822881479,2.011343651,17.12726215,8.069646209,10.91599558,1.982032168,-34.2545243,16.13929242,g2mm,2-4.75 mm,LOO,strip.random,No,Strip random effects
-4.400812449,3.424466781,14.54933118,7.020989039,6.776647951,1.132289961,-29.09866236,14.04197808,g2mm,2-4.75 mm,LOO,simple,No,Fixed effects only
0,0,72.04624807,6.384854172,6.561534224,0.96991051,-144.0924961,12.76970834,g250um,0.250-2 mm,WAIC,simple,Yes,Fixed effects only
-0.940827625,0.4459996,71.10542044,6.439910028,7.958699812,1.198286421,-142.2108409,12.87982006,g250um,0.250-2 mm,WAIC,strip.random,No,Strip random effects
-1.892105901,0.722041597,70.15414216,6.437951389,9.377757445,1.37385024,-140.3082843,12.87590278,g250um,0.250-2 mm,WAIC,strip.plot.random,No,Strip and plot random effects
0,0,72.00262519,6.39372972,6.605157094,0.979092653,-144.0052504,12.78745944,g250um,0.250-2 mm,LOO,simple,Yes,Fixed effects only
-1.037872032,0.475316955,70.96475316,6.481256641,8.099367089,1.246452767,-141.9295063,12.96251328,g250um,0.250-2 mm,LOO,strip.random,No,Strip random effects
-2.060774289,0.756237326,69.94185091,6.493816503,9.590048703,1.435956875,-139.8837018,12.98763301,g250um,0.250-2 mm,LOO,strip.plot.random,No,Strip and plot random effects
0,0,-35.50411622,9.949144848,15.61928582,3.730302107,71.00823244,19.8982897,g53um,0.053-0.250 mm,WAIC,strip.plot.random,Yes,Strip and plot random effects
