"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","X5","X95","X25","X75"
"strip.random","Strip random effects","toc.percent","SOC (%)",3.62255555555556,"A","Balled-and-burlapped",3.20308472469887,2.98283813093023,3.41865888297999,3.12126257360874,3.28833031087844
"strip.random","Strip random effects","toc.percent","SOC (%)",3.62255555555556,"B","Bareroot",3.89012367537073,3.55929893911976,4.26147953188745,3.7501173992267,4.02024798358783
"strip.random","Strip random effects","toc.percent","SOC (%)",3.62255555555556,"C","Seedling",3.91154194465769,3.58354238157102,4.28675419953559,3.78023304542185,4.05246998906789
"strip.random","Strip random effects","toc.percent","SOC (%)",3.62255555555556,"D","Acorn",4.49459064410575,4.0827753886693,4.92725766547391,4.3484810375847,4.66330312272455
"strip.random","Strip random effects","toc.percent","SOC (%)",3.62255555555556,"E","Seedbank",4.71490082493808,4.32393856958029,5.14699856806044,4.56788247396324,4.87840931434401
"strip.random","Strip random effects","toc.percent","SOC (%)",3.62255555555556,"R","Reference",3.92263476473408,3.50993107999567,4.36520327097872,3.76397555493778,4.07286342230417
"strip.plot.random","Strip and plot random effects","toc.percent","SOC (%)",3.62255555555556,"A","Balled-and-burlapped",3.20978485434478,2.93648427781629,3.52380508398924,3.0936410047976,3.32127864815858
"strip.plot.random","Strip and plot random effects","toc.percent","SOC (%)",3.62255555555556,"B","Bareroot",3.88460171505441,3.41826596231396,4.4060611298324,3.70909853764779,4.08820251501226
"strip.plot.random","Strip and plot random effects","toc.percent","SOC (%)",3.62255555555556,"C","Seedling",3.90603926659936,3.44747375493119,4.43141221241419,3.73509386305165,4.119521074962
"strip.plot.random","Strip and plot random effects","toc.percent","SOC (%)",3.62255555555556,"D","Acorn",4.46940000572542,3.93063615180855,5.08689531128324,4.25016324770312,4.69140108244848
"strip.plot.random","Strip and plot random effects","toc.percent","SOC (%)",3.62255555555556,"E","Seedbank",4.70082910352487,4.13721359885567,5.32402278920626,4.49325419542053,4.94791722793622
"strip.plot.random","Strip and plot random effects","toc.percent","SOC (%)",3.62255555555556,"R","Reference",3.91073172684487,3.4047362173562,4.47223904600995,3.70946280726683,4.11533761621656
"simple","Fixed effects only","sand","Sand (%)",40.73333333,"A","Balled-and-burlapped",38.00530849,36.08296701,40.00758563,37.28434498,38.88501633
"simple","Fixed effects only","sand","Sand (%)",40.73333333,"B","Bareroot",42.16890183,39.22224361,45.29300484,40.9925141,43.46794361
"simple","Fixed effects only","sand","Sand (%)",40.73333333,"C","Seedling",42.95810833,40.01233374,46.13683266,41.81918046,44.32489313
"simple","Fixed effects only","sand","Sand (%)",40.73333333,"D","Acorn",42.95610408,39.93113123,46.05122653,41.74523287,44.21670739
"simple","Fixed effects only","sand","Sand (%)",40.73333333,"E","Seedbank",43.95590771,40.92451348,47.12777109,42.68249589,45.21344394
"simple","Fixed effects only","sand","Sand (%)",40.73333333,"R","Reference",48.82440411,45.68431142,52.29194385,47.38533871,50.07624135
"strip.random","Strip random effects","sand","Sand (%)",40.73333333,"A","Balled-and-burlapped",37.66413325,34.62842962,41.00451354,36.58082291,38.97190824
"strip.random","Strip random effects","sand","Sand (%)",40.73333333,"B","Bareroot",42.49550157,37.98862315,47.51662876,40.48181496,44.04044723
"strip.random","Strip random effects","sand","Sand (%)",40.73333333,"C","Seedling",43.29818875,38.78764154,48.40185696,41.3607415,44.97240934
"strip.random","Strip random effects","sand","Sand (%)",40.73333333,"D","Acorn",43.38138656,38.56446482,48.90903866,41.46956356,45.3157127
"strip.random","Strip random effects","sand","Sand (%)",40.73333333,"E","Seedbank",44.33237931,39.56695024,49.30088208,42.44922696,46.11186223
"strip.random","Strip random effects","sand","Sand (%)",40.73333333,"R","Reference",49.28063087,43.18774723,56.60352181,46.88323088,51.54341158
"strip.plot.random","Strip and plot random effects","sand","Sand (%)",40.73333333,"A","Balled-and-burlapped",37.78807974,34.21682007,41.87816913,36.46858303,39.33335218
"strip.plot.random","Strip and plot random effects","sand","Sand (%)",40.73333333,"B","Bareroot",42.36110842,36.99950266,48.7067176,40.23596712,44.63687999
"strip.plot.random","Strip and plot random effects","sand","Sand (%)",40.73333333,"C","Seedling",43.12902115,37.62553356,49.55795461,40.85781207,45.31340569
"strip.plot.random","Strip and plot random effects","sand","Sand (%)",40.73333333,"D","Acorn",43.16949416,37.4145012,49.64833817,40.95429947,45.5613606
"strip.plot.random","Strip and plot random effects","sand","Sand (%)",40.73333333,"E","Seedbank",44.12589172,38.45558481,50.53504616,41.76011874,46.28513217
"strip.plot.random","Strip and plot random effects","sand","Sand (%)",40.73333333,"R","Reference",49.03690731,41.9450213,56.79441554,46.42676747,51.82363654
"simple","Fixed effects only","silt","Silt (%)",42.11111111,"A","Balled-and-burlapped",44.48181824,42.69298324,46.40380405,43.78495419,45.28536354
"simple","Fixed effects only","silt","Silt (%)",42.11111111,"B","Bareroot",40.34718101,37.98530273,42.87536642,39.28460782,41.25731361
"simple","Fixed effects only","silt","Silt (%)",42.11111111,"C","Seedling",40.79432362,38.40390959,43.28000927,39.8436225,41.82423695
"simple","Fixed effects only","silt","Silt (%)",42.11111111,"D","Acorn",40.28886744,37.93144308,42.79450244,39.2307044,41.20393971
"simple","Fixed effects only","silt","Silt (%)",42.11111111,"E","Seedbank",39.27930924,36.88394265,41.67073262,38.29132444,40.24198521
"simple","Fixed effects only","silt","Silt (%)",42.11111111,"R","Reference",36.11791706,33.90684891,38.51578409,35.24975249,37.1460013
"strip.random","Strip random effects","silt","Silt (%)",42.11111111,"A","Balled-and-burlapped",44.72688602,42.01519719,47.5980516,43.64891642,45.75048546
"strip.random","Strip random effects","silt","Silt (%)",42.11111111,"B","Bareroot",40.10326694,36.83780309,43.62309298,38.92107738,41.49301155
"strip.random","Strip random effects","silt","Silt (%)",42.11111111,"C","Seedling",40.55026792,37.23714579,44.09724041,39.42842996,42.03025393
"strip.random","Strip random effects","silt","Silt (%)",42.11111111,"D","Acorn",39.96099198,36.54907002,43.69820111,38.75307854,41.45080008
"strip.random","Strip random effects","silt","Silt (%)",42.11111111,"E","Seedbank",39.05520674,35.79295516,42.42590746,37.93321402,40.50246299
"strip.random","Strip random effects","silt","Silt (%)",42.11111111,"R","Reference",35.92425434,32.49384467,39.79608098,34.68361072,37.37439072
"strip.plot.random","Strip and plot random effects","silt","Silt (%)",42.11111111,"A","Balled-and-burlapped",44.50320298,39.95155894,49.36760075,42.87276774,46.38614455
"strip.plot.random","Strip and plot random effects","silt","Silt (%)",42.11111111,"B","Bareroot",40.27855606,34.97362754,46.6537102,38.01170409,42.40053855
"strip.plot.random","Strip and plot random effects","silt","Silt (%)",42.11111111,"C","Seedling",40.7404129,35.24223181,47.22725894,38.32623316,42.84988133
"strip.plot.random","Strip and plot random effects","silt","Silt (%)",42.11111111,"D","Acorn",40.12662559,34.53027746,46.59828662,38.05781926,42.57820296
"strip.plot.random","Strip and plot random effects","silt","Silt (%)",42.11111111,"E","Seedbank",39.18444104,33.87594016,45.42428822,36.99261961,41.33511599
"strip.plot.random","Strip and plot random effects","silt","Silt (%)",42.11111111,"R","Reference",35.99271874,30.65866495,42.27602391,33.99216357,38.24552503
"simple","Fixed effects only","clay","Clay (%)",17.15555556,"A","Balled-and-burlapped",17.36588809,16.47788348,18.33241497,17.01505063,17.77422874
"simple","Fixed effects only","clay","Clay (%)",17.15555556,"B","Bareroot",17.6904588,16.39696016,19.04201839,17.13848827,18.21642064
