"model","model.label","variable","variable.label","variable.mean","treatment","full.treatment.name","posterior.mean","5","95","25","75"
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"A","Balled-and-burlapped",0.337381781745714,0.129299309910297,0.885307786252404,0.281082179847808,0.60462295618603
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"B","Bareroot",0.439029796988083,0.182963991037683,1.07237439607458,0.387532446368293,0.765050972403572
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"C","Seedling",0.270436974283472,0.101326468301177,0.759526726272121,0.216404880666827,0.489054992910868
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"D","Acorn",0.379027134580811,0.148263349785357,0.963458874887381,0.323473003550812,0.673669987568068
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"E","Seedbank",1.49415005628935,1.05241504373459,2.14598663107438,1.398862276549,1.82543516456317
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"R","Reference",0.493236610987112,0.209798943965302,1.13740107544787,0.442171067917726,0.837070926446248
"strip.random","Strip random effects","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"A","Balled-and-burlapped",0.328229917313119,0.11647432560656,0.919838332967574,0.228400082647801,0.512751034367533
"strip.random","Strip random effects","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"B","Bareroot",0.453507295938383,0.193833621076327,1.05710424200664,0.353197164517109,0.681222113165472
"strip.random","Strip random effects","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"C","Seedling",0.212061817243644,0.0743468556916539,0.612317186510045,0.15373169732199,0.358112912203109
"strip.random","Strip random effects","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"D","Acorn",0.406635350032726,0.152097849280508,1.12226340649952,0.298726969801568,0.649341503967314
"strip.random","Strip random effects","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"E","Seedbank",1.23332740583967,0.591079429174284,2.53252077499452,1.01068398922885,1.74559221861746
"strip.random","Strip random effects","herbaceous.biomass.c.stock","Herbaceous biomass",0.635525780246914,"R","Reference",0.583095105521319,0.198774002742417,1.65538335663418,0.39658249959789,0.90759209226592
"simple","Fixed effects only","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"A","Balled-and-burlapped",10.8625531159872,7.14165013479399,16.6911276692964,10.0235091852049,13.8059044509135
"simple","Fixed effects only","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"B","Bareroot",13.7926409828289,9.80716950398677,19.4642341089405,12.8671236744488,16.6538689949835
"simple","Fixed effects only","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"C","Seedling",17.0619058420495,12.9865412735355,22.7064330639951,15.8842960075652,19.6263357346786
"simple","Fixed effects only","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"D","Acorn",15.7531333533215,11.7030914186169,21.3704975929363,14.6536286556139,18.4188108975374
"simple","Fixed effects only","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"E","Seedbank",14.1951756841362,10.2425538073397,19.951071279496,13.1809095958214,16.943634642971
"simple","Fixed effects only","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"R","Reference",13.3501269616484,9.48322345811894,19.1461351310179,12.2666586258575,15.9855615520688
"strip.random","Strip random effects","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"A","Balled-and-burlapped",11.1956240593606,7.10213968066957,17.7699869194495,9.6216453197599,13.6156210369833
"strip.random","Strip random effects","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"B","Bareroot",13.8349740592183,9.5241014852623,19.9519935100757,12.2782689371329,16.2762989339651
"strip.random","Strip random effects","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"C","Seedling",16.9137131046466,11.8934019390298,24.0097502295397,15.1838117271052,19.7687990516539
"strip.random","Strip random effects","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"D","Acorn",16.5947488771759,10.9470994385913,25.0825642826054,14.383073966816,19.5886117142907
"strip.random","Strip random effects","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"E","Seedbank",14.3939651059325,9.9466639504416,20.814616110613,12.7509441991334,16.8841909121959
"strip.random","Strip random effects","herbaceous.biomass.cn.ratio","Herbaceous biomass C:N ratio",15.0153453639481,"R","Reference",13.937637271109,8.17238481422135,24.1571784812119,11.4807043258607,17.142034297256
"simple","Fixed effects only","herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio",17.7407447441704,"A","Balled-and-burlapped",16.3448429179972,15.2965817316917,17.4704986060339,15.9639959206618,16.8085947072253
"simple","Fixed effects only","herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio",17.7407447441704,"B","Bareroot",17.9619331290753,16.896822473334,19.0731057820842,17.5692718055789,18.4091687352396
"simple","Fixed effects only","herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio",17.7407447441704,"C","Seedling",17.9494756538556,16.8943109643722,19.0732399793792,17.57972236556,18.4263610858671
"simple","Fixed effects only","herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio",17.7407447441704,"D","Acorn",16.8240524130336,15.7956234910797,17.9794255205141,16.4403424957158,17.2838615694667
"simple","Fixed effects only","herbaceous.litter.cn.ratio","Herbaceous litter C:N ratio",17.7407447441704,"E","Seedbank",17.0617543648025,16.0193367768892,18.1940132912098,16.6762646627552,17.5214074736179
