"variable","variable.label","model","model.label","treatment","full.treatment.name","Rhat"
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00045396953911
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","D","Acorn",1.00011132715957
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00020792227937
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","R","Reference",1.00041814707662
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00030774538913
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.00004694860593
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00009224108738
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","D","Acorn",0.999963810072825
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.00008965430318
"snag.frax.live.carbon","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","R","Reference",1.00027192871482
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00036902356219
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00012056787375
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00010415714873
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","D","Acorn",1.00018834700739
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00029634896961
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","R","Reference",1.00036753145355
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00042124287042
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.00032957376839
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00020913347051
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","D","Acorn",1.00021434285771
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.00029562431937
"snag.frax.dead.carbon","Dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","R","Reference",1.00026621535803
"total.abg.wood.carbon","Aboveground woody biomass","simple","Fixed effects only","A","Balled-and-burlapped",1.0010065153926
"total.abg.wood.carbon","Aboveground woody biomass","simple","Fixed effects only","B","Bareroot",1.00034056170753
"total.abg.wood.carbon","Aboveground woody biomass","simple","Fixed effects only","C","Seedling",1.00040440689404
"total.abg.wood.carbon","Aboveground woody biomass","simple","Fixed effects only","D","Acorn",1.00014013377831
"total.abg.wood.carbon","Aboveground woody biomass","simple","Fixed effects only","E","Seedbank",1.00028281970904
"total.abg.wood.carbon","Aboveground woody biomass","simple","Fixed effects only","R","Reference",1.00031339826416
"total.abg.wood.carbon","Aboveground woody biomass","strip.random","Strip random effects","A","Balled-and-burlapped",1.0002883085388
"total.abg.wood.carbon","Aboveground woody biomass","strip.random","Strip random effects","B","Bareroot",1.00015367616082
"total.abg.wood.carbon","Aboveground woody biomass","strip.random","Strip random effects","C","Seedling",1.00009223270847
"total.abg.wood.carbon","Aboveground woody biomass","strip.random","Strip random effects","D","Acorn",1.00010663534624
"total.abg.wood.carbon","Aboveground woody biomass","strip.random","Strip random effects","E","Seedbank",1.00008008535202
"total.abg.wood.carbon","Aboveground woody biomass","strip.random","Strip random effects","R","Reference",1.00009976902839
"total.bg.wood.carbon","Belowground woody biomass","simple","Fixed effects only","A","Balled-and-burlapped",1.00046145816205
"total.bg.wood.carbon","Belowground woody biomass","simple","Fixed effects only","B","Bareroot",1.00018365860825
"total.bg.wood.carbon","Belowground woody biomass","simple","Fixed effects only","C","Seedling",1.00038271323805
"total.bg.wood.carbon","Belowground woody biomass","simple","Fixed effects only","D","Acorn",1.0002805420478
"total.bg.wood.carbon","Belowground woody biomass","simple","Fixed effects only","E","Seedbank",1.00036490425055
"total.bg.wood.carbon","Belowground woody biomass","simple","Fixed effects only","R","Reference",1.00035467214598
"total.bg.wood.carbon","Belowground woody biomass","strip.random","Strip random effects","A","Balled-and-burlapped",1.00036823804032
"total.bg.wood.carbon","Belowground woody biomass","strip.random","Strip random effects","B","Bareroot",1.00005125436339
"total.bg.wood.carbon","Belowground woody biomass","strip.random","Strip random effects","C","Seedling",1.00014701088583
"total.bg.wood.carbon","Belowground woody biomass","strip.random","Strip random effects","D","Acorn",1.00014540554483
"total.bg.wood.carbon","Belowground woody biomass","strip.random","Strip random effects","E","Seedbank",1.00035920870255
"total.bg.wood.carbon","Belowground woody biomass","strip.random","Strip random effects","R","Reference",1.00034582879884
"total.live.carbon","Total live vegetation","simple","Fixed effects only","A","Balled-and-burlapped",1.00037193933964
"total.live.carbon","Total live vegetation","simple","Fixed effects only","B","Bareroot",1.00026807639079
"total.live.carbon","Total live vegetation","simple","Fixed effects only","C","Seedling",1.00020294693066
"total.live.carbon","Total live vegetation","simple","Fixed effects only","D","Acorn",1.00031728358667
"total.live.carbon","Total live vegetation","simple","Fixed effects only","E","Seedbank",1.00028815030329
"total.live.carbon","Total live vegetation","simple","Fixed effects only","R","Reference",1.00018433069732
