model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,5,95,25,75
simple,Fixed effects only,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,B,Bareroot,-0.314240182,-1.669916743,1.142865513,-0.802482523,0.338373388
simple,Fixed effects only,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,C,Seedling,-0.421346561,-1.783185289,0.978939119,-0.942551176,0.17052049
simple,Fixed effects only,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,D,Acorn,-0.380019665,-1.761871219,1.024029904,-0.860152497,0.284341002
simple,Fixed effects only,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,E,Seedbank,2.055353215,1.019310045,3.268587981,1.68213269,2.530454588
simple,Fixed effects only,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,R,Reference,-0.424728951,-1.82010238,0.937188997,-0.948762564,0.186825838
strip.random,Strip random effects,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,A,Balled-and-burlapped,-2.994205675,-4.602823147,-1.349896465,-3.425418308,-2.166458164
strip.random,Strip random effects,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,B,Bareroot,0.235427199,-1.201856821,1.708208058,-0.3215461,0.881985176
strip.random,Strip random effects,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,C,Seedling,-0.714735024,-2.27446964,0.817551387,-1.329550272,-0.065304856
strip.random,Strip random effects,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,D,Acorn,0.190065195,-1.327072755,1.670760683,-0.425161126,0.79264336
strip.random,Strip random effects,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,E,Seedbank,1.304069829,-0.394991148,2.982629718,0.666366802,2.067031655
strip.random,Strip random effects,p.arundinacea.c.stock,P. arundinacea biomass,0.16833599,R,Reference,-0.334538722,-1.941780781,1.223550281,-0.989963285,0.310406221
simple,Fixed effects only,h.japonicus.c.stock,H. japonicus biomass,0.193483548,A,Balled-and-burlapped,-0.689383944,-1.646172171,0.393337687,-0.809995141,-0.024112915
simple,Fixed effects only,h.japonicus.c.stock,H. japonicus biomass,0.193483548,B,Bareroot,-0.134848386,-1.471188828,1.191824857,-0.512859626,0.54463545
simple,Fixed effects only,h.japonicus.c.stock,H. japonicus biomass,0.193483548,C,Seedling,-0.564041798,-1.88068257,0.772514015,-1.036575983,0.034574604
simple,Fixed effects only,h.japonicus.c.stock,H. japonicus biomass,0.193483548,D,Acorn,-0.16516684,-1.533450099,1.137767933,-0.583953657,0.479088545
simple,Fixed effects only,h.japonicus.c.stock,H. japonicus biomass,0.193483548,E,Seedbank,1.41013421,0.375287011,2.601889864,1.003089438,1.825448141
simple,Fixed effects only,h.japonicus.c.stock,H. japonicus biomass,0.193483548,R,Reference,-0.576262316,-1.917535081,0.740971978,-1.059856669,0.015038311
strip.random,Strip random effects,h.japonicus.c.stock,H. japonicus biomass,0.193483548,A,Balled-and-burlapped,-1.227908731,-2.727666827,0.36870485,-1.346821208,-0.276034259
strip.random,Strip random effects,h.japonicus.c.stock,H. japonicus biomass,0.193483548,B,Bareroot,-0.017172282,-1.426382542,1.359964017,-0.488447227,0.618928077
strip.random,Strip random effects,h.japonicus.c.stock,H. japonicus biomass,0.193483548,C,Seedling,-0.550816752,-1.93458784,0.916709873,-1.148343737,0.004858478
strip.random,Strip random effects,h.japonicus.c.stock,H. japonicus biomass,0.193483548,D,Acorn,-0.121186858,-1.510565373,1.336969217,-0.623185765,0.522360778
strip.random,Strip random effects,h.japonicus.c.stock,H. japonicus biomass,0.193483548,E,Seedbank,1.159947737,-0.169945809,2.481521846,0.797057036,1.809309206
strip.random,Strip random effects,h.japonicus.c.stock,H. japonicus biomass,0.193483548,R,Reference,-0.421126403,-1.941266861,1.06057979,-1.025805346,0.185659206
simple,Fixed effects only,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,A,Balled-and-burlapped,-0.542733329,-1.251178149,0.203961336,-0.75302128,-0.165786376
simple,Fixed effects only,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,B,Bareroot,-0.064679112,-1.192266564,1.130026879,-0.390225623,0.512343681
simple,Fixed effects only,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,C,Seedling,-0.566989143,-1.762549801,0.661332019,-0.930254127,0.040397079
simple,Fixed effects only,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,D,Acorn,-0.211426192,-1.368231926,0.989380096,-0.544281546,0.388929861
simple,Fixed effects only,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,E,Seedbank,1.348208323,0.577272731,2.204970912,0.983173655,1.619577102
simple,Fixed effects only,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,R,Reference,0.066976372,-1.073107955,1.207916076,-0.228333085,0.653842505
strip.random,Strip random effects,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,A,Balled-and-burlapped,-0.66009288,-1.478442389,0.13395328,-0.922097822,-0.290422502
strip.random,Strip random effects,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,B,Bareroot,0.095178989,-0.967537317,1.167160654,-0.291418434,0.553584449
strip.random,Strip random effects,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,C,Seedling,-0.74568978,-1.950512848,0.50356241,-1.184278114,-0.204599775
strip.random,Strip random effects,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,D,Acorn,-0.070453032,-1.232629351,1.111347691,-0.466915495,0.456184877
strip.random,Strip random effects,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,E,Seedbank,1.134433097,0.130355687,2.121719962,0.790123022,1.572065339
strip.random,Strip random effects,herbaceous.biomass.c.stock,Herbaceous biomass,0.63552578,R,Reference,0.250143996,-0.970646455,1.414024913,-0.145959009,0.803128749
simple,Fixed effects only,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,A,Balled-and-burlapped,-0.254414237,-0.587580248,0.111316566,-0.354633232,-0.083124743
simple,Fixed effects only,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,B,Bareroot,0.153037711,-0.349028141,0.647212469,-0.022525963,0.352798543
simple,Fixed effects only,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,C,Seedling,0.375017459,-0.082516392,0.818128815,0.211124769,0.556725881
simple,Fixed effects only,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,D,Acorn,0.292696915,-0.150923915,0.774213435,0.140895664,0.496472476
simple,Fixed effects only,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,E,Seedbank,0.183949102,-0.282799097,0.69027588,0.014694189,0.386646409
